profile,approach,metric,statistic,value,unit,n,comparison_basis
Vegetarian,GA-Food,Sódio,relative_change_from_base_percent,1.396308,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Sódio,mean_daily,2274.8131,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Sódio,relative_change_from_base_percent,-2.717982,percent,1,same-profile Base mean
Vegetarian,LP-Food,Sódio,mean_daily,876.79334,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Sódio,relative_change_from_base_percent,-62.504073,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Sódio,mean_daily,2360.556,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Sódio,relative_change_from_base_percent,0.9488,percent,1,same-profile Base mean
Vegetarian,Base,Vitamina C,mean_daily,157.971276,mg/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Vitamina C,mean_daily,269.8208,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Vitamina C,relative_change_from_base_percent,70.803709,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Vitamina C,mean_daily,245.5178,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Vitamina C,relative_change_from_base_percent,55.419267,percent,1,same-profile Base mean
Vegetarian,LP-Food,Vitamina C,mean_daily,89.49352,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Vitamina C,relative_change_from_base_percent,-43.348233,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Vitamina C,mean_daily,280.0296,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Vitamina C,relative_change_from_base_percent,77.26615,percent,1,same-profile Base mean
Regular,Base,Food diversity,unique_foods_total,187.0,unique_foods,50,all archived solutions available for diversity
Regular,Base,Food diversity,unique_foods_mean_per_week,61.94,unique_foods,50,all archived solutions available for diversity
Regular,GA-Food,Food diversity,unique_foods_total,155.0,unique_foods,10,all archived solutions available for diversity
Regular,GA-Food,Food diversity,unique_foods_mean_per_week,58.7,unique_foods,10,all archived solutions available for diversity
Regular,GA-Meal,Food diversity,unique_foods_total,147.0,unique_foods,10,all archived solutions available for diversity
Regular,GA-Meal,Food diversity,unique_foods_mean_per_week,56.8,unique_foods,10,all archived solutions available for diversity
Regular,LP-Food,Food diversity,unique_foods_total,10.0,unique_foods,1,all archived solutions available for diversity
Regular,LP-Food,Food diversity,unique_foods_mean_per_week,10.0,unique_foods,1,all archived solutions available for diversity
Regular,LP-Meal,Food diversity,unique_foods_total,27.0,unique_foods,1,all archived solutions available for diversity
Regular,LP-Meal,Food diversity,unique_foods_mean_per_week,27.0,unique_foods,1,all archived solutions available for diversity
Vegetarian,Base,Food diversity,unique_foods_total,207.0,unique_foods,50,all archived solutions available for diversity
Vegetarian,Base,Food diversity,unique_foods_mean_per_week,72.46,unique_foods,50,all archived solutions available for diversity
Vegetarian,GA-Food,Food diversity,unique_foods_total,173.0,unique_foods,10,all archived solutions available for diversity
Vegetarian,GA-Food,Food diversity,unique_foods_mean_per_week,66.1,unique_foods,10,all archived solutions available for diversity
Vegetarian,GA-Meal,Food diversity,unique_foods_total,164.0,unique_foods,10,all archived solutions available for diversity
Vegetarian,GA-Meal,Food diversity,unique_foods_mean_per_week,64.6,unique_foods,10,all archived solutions available for diversity
Vegetarian,LP-Food,Food diversity,unique_foods_total,10.0,unique_foods,1,all archived solutions available for diversity
Vegetarian,LP-Food,Food diversity,unique_foods_mean_per_week,10.0,unique_foods,1,all archived solutions available for diversity
Vegetarian,LP-Meal,Food diversity,unique_foods_total,32.0,unique_foods,1,all archived solutions available for diversity
Vegetarian,LP-Meal,Food diversity,unique_foods_mean_per_week,32.0,unique_foods,1,all archived solutions available for diversity
Vegan,Base,Food diversity,unique_foods_total,157.0,unique_foods,50,all archived solutions available for diversity
Vegan,Base,Food diversity,unique_foods_mean_per_week,68.68,unique_foods,50,all archived solutions available for diversity
Vegan,GA-Food,Food diversity,unique_foods_total,134.0,unique_foods,10,all archived solutions available for diversity
Vegan,GA-Food,Food diversity,unique_foods_mean_per_week,57.5,unique_foods,10,all archived solutions available for diversity
Vegan,GA-Meal,Food diversity,unique_foods_total,131.0,unique_foods,10,all archived solutions available for diversity
Vegan,GA-Meal,Food diversity,unique_foods_mean_per_week,57.5,unique_foods,10,all archived solutions available for diversity
Vegan,LP-Food,Food diversity,unique_foods_total,10.0,unique_foods,1,all archived solutions available for diversity
Vegan,LP-Food,Food diversity,unique_foods_mean_per_week,10.0,unique_foods,1,all archived solutions available for diversity
Vegan,LP-Meal,Food diversity,unique_foods_total,23.0,unique_foods,1,all archived solutions available for diversity
Vegan,LP-Meal,Food diversity,unique_foods_mean_per_week,23.0,unique_foods,1,all archived solutions available for diversity
