food_original,current_tbca_name,current_tbca_code,occurrence_count,profiles,review_status,candidate_1,candidate_1_code,candidate_1_score,candidate_2,candidate_2_code,candidate_2_score,candidate_3,candidate_3_code,candidate_3_score,candidate_4,candidate_4_code,candidate_4_score,candidate_5,candidate_5_code,candidate_5_score
"Arroz, creme, cozido, s/ tempero","Arroz, creme, cozido, s/ tempero, Brasil",BRC0012A,8,vegan,PENDING_MANUAL_REVIEW,"Arroz, creme, pó, cru, Brasil",BRC0792A,0.5375,"Arroz, integral, cozido, s/ sal, s/ óleo, Brasil",BRC0016A,0.4625,"Arroz selvagem, cozido, s/ óleo, s/ sal (dado importado)",BRC0994A,0.42535,"Arroz selvagem, cozido, c/ óleo, cebola e alho, c/ sal",BRC0995A,0.38857,"Arroz selvagem, cozido, c/ óleo, cebola e alho, s/ sal",BRC0996A,0.38857
"Batata, inglesa, sauté (c/ margarina e salsa), c/ sal","Batata, inglesa, sauté (c/ margarina e salsa), s/ sal",BRC0103B,8,regular|vegetarian,PENDING_MANUAL_REVIEW,"Batata inglesa, sauté (c/ margarina e salsa), c/ sal, Brasil",BRC0170B,1.0,"Batata, doce, s/ casca, sauté (c/ margarina e salsa), c/ sal",BRC0301B,0.78046,"Batata, doce, s/ casca, sauté (c/ margarina e salsa), s/ sal",BRC0300B,0.78046,"Purê, batata inglesa, c/ margarina e sal, Brasil",BRC0323B,0.70982,"Cenoura, s/ casca, sauté (c/ margarina e salsa), c/ sal",BRC0337B,0.6741
"Bebida, infusão, hortelã rasteira, planta, folha, s/ açúcar","Bebida, chá, infusão, cidreira, planta, folha, c/ açúcar",BRC0052H,8,vegetarian,PENDING_MANUAL_REVIEW,"Bebida, chá, infusão, capim-santo (capim-cidreira, capim-limão), planta, folha, c/ açúcar",BRC0051H,0.53984,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",BRC0081H,0.45852,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), c/ açúcar",BRC0082H,0.45852,"Bebida, café, infusão 10%, c/ açúcar",BRC0042H,0.4525,"Bebida, café, infusão 10%, s/ açúcar, Brasil",BRC0007H,0.4525
"Biscoito, salgado, cream cracker , integral","Biscoito, salgado, cream cracker, integral, Brasil",BRC0059A,8,vegetarian,PENDING_MANUAL_REVIEW,"Biscoito, salgado, cream cracker, Brasil",BRC0060A,0.83826,"Biscoito, salgado, cream cracker, Brasil",BRC0061A,0.83826,"Biscoito, salgado, cream cracker, Brasil",BRC0201A,0.83826,"Biscoito, salgado, água, Brasil",BRC0056A,0.49833,"Biscoito, salgado, água e sal, Brasil",BRC0057A,0.4625
"Cebolinha, verde, crua","Cebolinha, verde, crua, Brasil",BRC0019B,8,vegan,PENDING_MANUAL_REVIEW,"Cebolinha, verde, cozida, s/ óleo, c/ sal",BRC0921B,0.5387,"Cebolinha, verde, cozida, s/ óleo, s/ sal, Brasil",BRC0084B,0.5387,"Cheiro verde (50% cebolinha verde, 50% salsa), cru, Brasil",BRC0021B,0.48,"Pimentão, verde, cru, Brasil",BRC0037B,0.45345,"Caldo verde, c/ sal",BRC0681B,0.40583
"Cereais, barra (média de diferentes sabores)","Cereais, barra (média de diferentes sabores), Brasil",BRC0082A,8,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Cereais, barra, banana, Brasil",BRC0083A,0.62744,"Cereais, farinha, p/ crianças (média de diferentes sabores), Brasil",BRC0087A,0.55,"Cereais, barra, coco c/ chocolate, Brasil",BRC0085A,0.53918,"Cereais, mistura p/ mingau (média de diferentes sabores), Brasil",BRC0093A,0.52358,"Cereais, barra, frutas e castanha do Brasil, Brasil",BRC0086A,0.50962
"Presunto, porco, cozido, s/ capa de gordura","Presunto, porco, cozido, s/ capa de gordura, Brasil",BRC0248F,8,regular,PENDING_MANUAL_REVIEW,"Presunto, porco, cozido, c/ capa de gordura (média de diferentes amostras), Brasil",BRC0247F,1.0,"Presunto, c/ capa de gordura, fatiado, cozido, Brasil",BRC0200F,0.63,"Presunto, s/ capa de gordura, cozido, fatiado, Brasil",BRC0203F,0.63,"Presunto, porco, cozido, p/ lanche, Brasil (média de várias amostras)",BRC0199F,0.55607,"Presunto, cozido, Brasil",BRC0201F,0.51673
"Soja, extrato, solúvel, em pó","Soja, extrato, solúvel, em pó, Brasil",BRC0048T,8,vegan,PENDING_MANUAL_REVIEW,"Soja, extrato, c/ suco de maçã, Brasil",BRC0044T,0.54111,"Soja, extrato, c/ suco de morango, Brasil",BRC0047T,0.53958,"Soja, extrato, c/ suco de abacaxi, Brasil",BRC0045T,0.51667,"Soja, extrato, c/ suco de maracujá, Brasil",BRC0046T,0.50918,"Soja, extrato, bebida (média de diferentes sabores), Brasil",BRC0042T,0.502
"Biscoito, doce, simples (média de diferentes tipos)","Biscoito, doce, simples (média de diferentes tipos), Brasil",BRC0027A,7,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Biscoito, doce, Maria, Brasil",BRC0028A,0.6375,"Biscoito, doce, amanteigado, Brasil",BRC0039A,0.5837,"Biscoito, doce, wafer (média de diferentes sabores), Brasil",BRC0049A,0.56958,"Biscoito, doce, amanteigado, leite, Brasil",BRC0036A,0.53962,"Biscoito, doce, amanteigado, leite, Brasil",BRC0037A,0.53962
"Leite, vaca, c/ chocolate","Leite, vaca, c/ chocolate, em pó, Brasil",BRC0035G,7,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Leite, vaca, c/ chocolate, fluido, Brasil",BRC0033G,0.80559,"Leite, vaca, c/ chocolate, fluído, Brasil",BRC0034G,0.80559,"Leite, vaca, desnatado, c/chocolate, Brasil",BRC0037G,0.7775,"Chocolate, ao leite, Brasil",BRC0047K,0.58286,"Chocolate, ao leite, Brasil",BRC0049K,0.58286
"Milho, verde, grão, cozido, drenado, c/ sal","Milho, verde, grão, cozido, drenado, c/ sal, Brasil",BRC0177A,7,vegan,PENDING_MANUAL_REVIEW,"Milho, verde, grão, cozido, drenado, s/ sal, Brasil",BRC0176A,1.0,"Milho, verde, grão, cozido, drenado, c/ manteiga, c/ sal",BRC0175A,0.87306,"Milho, verde, grão, cozido, drenado, c/ manteiga, s/ sal",BRC0174A,0.87306,"Milho, verde, grão, cozido no vapor, Brasil",BRC0138A,0.6847,"Milho, verde, grão, assado, c/ sal, Brasil",BRC0181A,0.68295
"Suco natural, laranja, mamão, pera e maçã, s/ açúcar","Suco natural, laranja, mamão, pera e maçã, c/ açúcar",BRC0130C,7,regular|vegetarian,PENDING_MANUAL_REVIEW,"Suco natural, laranja e maçã, c/ açúcar",BRC0207C,0.81092,"Suco natural, laranja e mamão, c/ açúcar",BRC0128C,0.79125,"Suco natural, laranja e mamão, s/ açúcar",BRC0127C,0.79125,"Suco natural, laranja var. Pera, mamão, pera e maçã, s/ açúcar (sem diluição em água), Brasil",BRC0129C,0.76533,"Suco natural, laranja e banana, c/ açúcar",BRC0154C,0.68457
"Manga, polpa, in natura","Melancia, polpa,in natura, Brasil",BRC0027C,6,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Manga, Haden, polpa,in natura, Brasil",BRC0046C,0.73214,"Manga, Palmer, polpa,in natura, Brasil",BRC0047C,0.71724,"Manga, polpa,in natura, Brasil (média diferentes variedades)",BRC0025C,0.66667,"Manga, Tommy Atkins, polpa,in natura, Brasil",BRC0048C,0.57071,"Açaí, polpa (média de amostras), Brasil",BRC0003C,0.56905
"Canela, em pó","Chantily, em pó, Brasil",BRC0009R,4,vegan,PENDING_MANUAL_REVIEW,"Chantily, em pó,  Brasil",BRC0008R,0.535,"Canela, em pó (dado importado)",BRC0778B,0.525,"Guaraná, em pó, Brasil",BRC0049L,0.49737,"Chocolate, pó, Brasil",BRC0011K,0.46429,"Café, torrado, em pó, Brasil",BRC0001L,0.43333
"Canjica, milho, branca, cozida, drenada","Canjica, milho, branca, cozida, drenada, s/ açúcar, Brasil",BRC0185A,4,vegan,PENDING_MANUAL_REVIEW,"Canjica, milho, branca, crua, Brasil",BRC0126A,0.67,"Canjica, milho, branca, cozida, c/ leite integral e açúcar",BRC0184A,0.6093,"Cebola, branca, cozida, drenado, s/ óleo, s/ sal, Brasil",BRC0114B,0.46667,"Alcachofra, cozida, drenada, s/ óleo, c/ sal",BRC0915B,0.46322,"Linguiça, calabresa, cozida, drenada, s/ óleo, c/ sal, Brasil",BRC0896F,0.44286
"Cogumelo, Paris, cozido, drenado, s/ óleo, c/ sal","Cogumelo, Paris, cozido, drenado, s/ óleo, c/ sal (dado importado)",BRC0701B,4,vegan,PENDING_MANUAL_REVIEW,"Cogumelo, cozido, s/ óleo, s/ sal (média de diferentes tipos), Brasil",BRC1143B,0.72581,"Agrião, cozido, drenado, s/ óleo, c/ sal",BRC0914B,0.69391,"Agrião, cozido, drenado, s/ óleo, s/ sal, Brasil",BRC0162B,0.69391,"Caruru, cozido, drenado, s/ óleo, c/ sal",BRC0246B,0.69391,"Caruru, cozido, drenado, s/ óleo, s/ sal, Brasil",BRC0245B,0.69391
"Ervilha, enlatada, drenada","Ervilha, enlatada, drenada, Brasil",BRC0023T,4,vegetarian,PENDING_MANUAL_REVIEW,"Legumes, seleta, enlatada, drenada, Brasil",BRC0095B,0.58,"Ervilha, grão, fresca, cozida, drenada, s/ óleo, c/ sal",BRC0072T,0.44086,"Ervilha, grão, fresca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0071T,0.44086,"Ervilha, em vagem, fresca, cozida, drenada, s/ óleo, c/ sal",BRC0076T,0.43603,"Ervilha, em vagem, fresca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0075T,0.43603
"Leite, vaca, integral, em pó","Leite, vaca, integral, em pó, Brasil",BRC0041G,4,regular|vegetarian,PENDING_MANUAL_REVIEW,"Leite, vaca, integral, em pó (média de várias amostras), Brasil",BRC0039G,0.83451,"Leite, vaca, integral, instantâneo, em pó, Brasil",BRC0040G,0.79214,"Leite, cabra, integral, em pó, Brasil",BRC0143G,0.75889,"Leite, vaca, integral, UHT (média de diferentes amostras), Brasil",BRC0044G,0.75889,"Leite, vaca, integral, orgânico, Brasil",BRC0045G,0.732
"Suco, clorofila","Suco, clorofila, s/ açúcar, Brasil",BRC0198C,4,vegan,PENDING_MANUAL_REVIEW,"Suco, néctar, manga, Brasil",BRC0223C,0.39637,"Suco, manga, concentrado, Brasil",BRC0257C,0.3875,"Suco, néctar (média de sabores), Brasil",BRC0256C,0.37917,"Suco natural, acerola, c/ açúcar",BRC0150C,0.35829,"Suco natural, acerola, s/ açúcar",BRC0149C,0.35829
"Bebida, infusão, erva-mate, chimarrão, (70g de matéria seca - 30% de ramos e 70% de folhas - em 1 L de água)","Bebida, infusão, erva-mate, chimarrão, (70g de matéria seca - 30% de ramos e 70% de folhas - em 1 L de água),",BRC0022H,3,vegan,PENDING_MANUAL_REVIEW,"Bebida, chá, infusão, cidreira, planta, folha, c/ açúcar",BRC0052H,0.31786,"Bebida, chá, infusão, capim-santo (capim-cidreira, capim-limão), planta, folha, c/ açúcar",BRC0051H,0.30902,"Sopa, carne, c/ macarrão e legumes, desidratada, preparada c/ água",BRC0846A,0.28179,"Bebida, capuccino (leite, café e achocolatado em pó), c/ açúcar",BRC0047H,0.28076,"Bebida, capuccino (leite, café e achocolatado em pó), s/ açúcar",BRC0045H,0.28076
"Cacau, in natura","Pitaia,in natura",BRC0225C,3,vegan,PENDING_MANUAL_REVIEW,"Cacau, polpa,in natura, Brasil",BRC0071C,0.56875,"Manteiga, cacau, Brasil",BRC0018D,0.51447,"Calda de cacau, vegano",BRC0211K,0.38913,"Granola, cacau, caseira",BRC0959A,0.36154,"Acelga, crua, Brasil",BRC0007B,0.3
"Melado, cana","Melado, cana, Brasil",BRC0029K,3,vegan,PENDING_MANUAL_REVIEW,"Ameixa, c/ casca,in natura, Brasil",BRC0005C,0.33478,"Mousse, chocolate, c/ melado",BRC0242T,0.30662,"Alichela, caseira",BRC0539E,0.28519,"Abacaxi, polpa, grelhado, c/ canela",BRC0218C,0.275,"Ameixa, em calda, enlatada, Brasil",BRC0186C,0.275
"Trigo para quibe, cozido, s/ sal","Tabule, c/ trigo para quibe, c/ sal",BRC0826B,3,vegan,PENDING_MANUAL_REVIEW,"Tabule, c/ trigo para quibe, s/ sal",BRC0827B,0.645,"Trigo para quibe (kibe), cozido, s/ óleo, s/ sal (dado importado)",BRC0405A,0.57572,"Quibe, bovino, cru, c/ sal",BRC0921F,0.55632,"Pinhão, cozido, s/ sal, Brasil",BRC0007U,0.54667,"Macarrão, trigo, integral, cozido, drenado, s/ sal, Brasil",BRC0229A,0.51942
"Abobrinha, italiana, c/ casca, crua","Abobrinha, italiana, c/ casca, crua, Brasil",BRC0006B,2,regular,PENDING_MANUAL_REVIEW,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal",BRC0264B,0.625,"Abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, Brasil",BRC0263B,0.625,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0152B,0.55952,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0040B,0.55952,"Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal",BRC0232B,0.51161
"Alho, refogado c/ óleo de soja, s/ sal","Alho, refogado (c/ óleo de soja), s/ sal, Brasil",BRC0113B,2,vegan,PENDING_MANUAL_REVIEW,"Cebola e alho, refogados, c/ óleo de soja, s/ sal, Brasil",BRC0108B,0.68906,"Cogumelo, refogado (c/ óleo de soja), cebola e alho, c/ sal (média de diferentes tipos)",BRC1145B,0.66319,"Tomate, refogado (c/ óleo de soja, cebola e alho), c/ sal",BRC0969B,0.65839,"Tomate, refogado (c/ óleo de soja, cebola e alho), s/ sal",BRC0970B,0.65839,"Catalonha, refogado (c/ óleo, cebola e alho), s/ sal",BRC0106B,0.61324
"Carne, boi, seca, cozida, s/ óleo","Carne, boi, seca, cozida, s/ óleo, Brasil",BRC0085F,2,regular,PENDING_MANUAL_REVIEW,"Carne, boi, costela, cozida, c/ óleo, c/ sal",BRC0869F,0.72324,"Carne, boi, acém, cozida, s/ óleo, c/ sal",BRC0650F,0.70893,"Carne, boi, bucho, cozida, s/ óleo, c/ sal",BRC0889F,0.701,"Carne, boi, língua, cozida, s/ óleo, c/ sal",BRC0834F,0.69335,"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",BRC0625F,0.68596
"Catchup, tomate, molho","Catchup, tomate, molho (dado importado)",BRC0030L,2,vegan,PENDING_MANUAL_REVIEW,"Tomate, molho, industrializado, Brasil",BRC0100B,0.5,"Molho tomate (molho ao sugo), artesanal, c/ sal, Brasil",BRC0389B,0.42018,"Molho tomate (molho ao sugo), artesanal, s/ sal, Brasil",BRC1192B,0.42018,"Nhoque de batata, c/ molho de tomate, c/ sal",BRC0464B,0.414,"Tomate, cru, Brasil",BRC0035B,0.40385
"Mandioca, farinha, crua","Mandioca, farinha, crua, Brasil",BRC0087B,2,regular,PENDING_MANUAL_REVIEW,"Mandioca, farinha, fermentada, puba, crua, Brasil",BRC0092B,0.59167,"Aveia, farinha, crua, Brasil",BRC0022A,0.56724,"Linhaça, farinha (média de diferentes tipos), Brasil",BRC0037U,0.54032,"Arroz,  farinha, Brasil",BRC0015A,0.52931,"Cereais, farinha, Brasil",BRC0091A,0.50484
"Peixe, água salgada, atum, sólido, conserva, light","Peixe, água salgada, atum, sólido, conserva, light, Brasil",BRC0053N,2,regular,PENDING_MANUAL_REVIEW,"Peixe, água salgada, atum, sólido, conserva em óleo, Brasil",BRC0039E,0.84424,"Peixe, água salgada, atum, ralado, conserva em óleo, Brasil",BRC0038E,0.71966,"Peixe, água salgada, atum, conserva em óleo (média sólido ou ralado), Brasil",BRC0352E,0.65889,"Peixe, água salgada, atum, cru, Brasil",BRC0042E,0.6292,"Peixe, água salgada, atum, conserva em óleo (média de diferentes marcas, sólido e ralado)",BRC0040E,0.61212
"Peixe, água salgada, sardinha, filé, conserva, em óleo","Peixe, água salgada, sardinha, filé, conserva, em óleo, Brasil",BRC0073E,2,regular,PENDING_MANUAL_REVIEW,"Peixe, água salgada, sardinha, filé, crua, Brasil",BRC0070E,0.77271,"Peixe, água salgada, sardinha, filé, conserva, c/ molho de tomate temperado, Brasil",BRC0072E,0.73,"Peixe, água salgada, sardinha, filé, cozido, drenado, s/ óleo, c/ sal",BRC0207E,0.72294,"Peixe, água salgada, sardinha, filé, cozido, drenado, s/ óleo, s/ sal, Brasil",BRC0206E,0.72294,"Peixe, água salgada, sardinha, conserva, c/ molho de tomate, Brasil",BRC0071E,0.71316
"Rabanete, c/ casca, cru","Rabanete, c/ casca, cru, Brasil",BRC0079B,2,vegetarian,PENDING_MANUAL_REVIEW,"Beterraba, s/ casca, crua, Brasil",BRC0015B,0.52931,"Carambola, c/ casca,in natura, Brasil",BRC0055C,0.52931,"Mangaba, c/ casca,in natura, Brasil",BRC0288C,0.51667,"Nabo, c/ casca, cru, Brasil",BRC0077B,0.51667,"Ameixa, c/ casca,in natura, Brasil",BRC0005C,0.48846
"Sanduíche, queijo quente, pão francês, c/ queijo muçarela e manteiga","Sanduíche, queijo quente, pão francês, c/ queijo muçarela, c/ manteiga",BRC0280A,2,regular,PENDING_MANUAL_REVIEW,"Sanduíche, queijo quente, pão francês, c/ queijo muçarela e margarina",BRC0273A,0.8604,"Sanduíche, queijo quente, pão francês, c/ queijo muçarela, c/ maionese",BRC0279A,0.80492,"Sanduíche, queijo quente, pão branco tradicional, c/ queijo muçarela e manteiga",BRC0275A,0.79574,"Sanduíche, queijo quente, pão francês, c/ queijo prato, c/ manteiga",BRC0290A,0.78992,"Sanduíche, misto quente, pão francês, c/ presunto, queijo muçarela, c/ manteiga",BRC0265A,0.78885
"Tapioca, c/ leite condensado e coco","Tapioca*, c/ leite condensado** e coco, Brasil",BRC0839B,2,vegetarian,PENDING_MANUAL_REVIEW,"Cuscuz de tapioca, c/ coco e leite de coco",BRC0997B,0.61429,"Arroz doce, c/ leite condensado e canela",BRC0914A,0.56278,"Arroz doce, c/ leite condensado e canela",BRC0897A,0.56278,"Bombom, leite em pó, leite condensado, caseiro",BRC0145K,0.46884,"Pizza, doce, banana, c/ leite condensado, caseira",BRC0691A,0.46164
"Achocolatado, pó (média diferentes amostras)","Achocolatado, em pó (média diferentes amostras), Brasil",BRC0001K,1,vegetarian,PENDING_MANUAL_REVIEW,"Achocolatado, em pó, Brasil",BRC0002K,1.0,"Achocolatado, em pó, Brasil",BRC0003K,1.0,"Achocolatado, em pó, sem adição de açúcar",BRC0101N,0.6,"Chocolate, pó, Brasil",BRC0011K,0.59815,"Flan, chocolate, em pó, Brasil",BRC0012R,0.525
"Azeitona, verde, conserva, drenada","Azeitona, verde, conserva, drenada, Brasil",BRC0121B,1,vegetarian,PENDING_MANUAL_REVIEW,"Azeitona, preta, conserva, drenada, Brasil",BRC0120B,0.74903,"Palmito, Juçara, conserva, drenado, Brasil",BRC0996B,0.45461,"Palmito, Pupunha, conserva, drenado, Brasil",BRC0995B,0.44841,"Alcaparra, conserva, drenada (dado importado)",BRC0703B,0.43413,"Grão-de-bico, conserva, drenado, Brasil",BRC0031T,0.43095
"Beringela, c/ casca, cozida, drenada, s/ óleo, c/ sal","Berinjela, c/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0157B,1,vegetarian,PENDING_MANUAL_REVIEW,"Beterraba, s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0044B,0.80092,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0913B,0.79906,"Cenoura, s/ casca, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0047B,0.79906,"Berinjela, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal",BRC0222B,0.78486,"Berinjela, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal",BRC0221B,0.78486
"Espinafre, folha, cozida, drenado, s/ óleo, c/ sal","Espinafre, folha, cozida, drenado, s/ óleo, c/ sal, Brasil",BRC0146B,1,vegetarian,PENDING_MANUAL_REVIEW,"Espinafre, cozido, drenado, s/ óleo, s/ sal, Brasil",BRC0073B,0.74603,"Mostarda, folha, cozida, drenada, s/ óleo, c/ sal",BRC0242B,0.68214,"Mostarda, folha, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0241B,0.68214,"Taioba, folha, cozida, drenada, s/ óleo, c/ sal",BRC0238B,0.67967,"Taioba, folha, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0237B,0.67967
"Leite, vaca, desnatado, em pó","Leite, vaca, desnatado, em pó, Brasil",BRC0038G,1,regular,PENDING_MANUAL_REVIEW,"Leite, vaca, desnatado, UHT, Brasil",BRC0070G,0.76149,"Leite, vaca, desnatado, fluído (média de diferentes amostras), Brasil",BRC0036G,0.754,"Leite, vaca, desnatado, c/chocolate, Brasil",BRC0037G,0.7266,"Leite, vaca, c/ café, em pó, Brasil",BRC0032G,0.67244,"Leite, vaca, integral, em pó, Brasil",BRC0041G,0.66111
"Nabo, c/ casca, cru","Nabo, c/ casca, cru, Brasil",BRC0077B,1,regular,PENDING_MANUAL_REVIEW,"Mangaba, c/ casca,in natura, Brasil",BRC0288C,0.58043,"Pepino, c/ casca, cru, Brasil",BRC0030B,0.55,"Carambola, c/ casca,in natura, Brasil",BRC0055C,0.546,"Jiló, c/ casca, cru, Brasil",BRC0026B,0.535,"Cenoura, s/ casca, crua, Brasil",BRC0020B,0.53261
"Palmito, conversa, drenado (média de variedades - Pupunha e Juçara)","Palmito, conversa, drenado (média de variedades - Pupunha e Juçara), Brasil",BRC0078B,1,vegetarian,PENDING_MANUAL_REVIEW,"Palmito, Juçara, conserva, drenado, Brasil",BRC0996B,0.46032,"Palmito, Pupunha, conserva, drenado, Brasil",BRC0995B,0.45685,"Aspargo, em conserva, drenado (dado importado)",BRC1164B,0.34311,"Soja, grão, cru, Brasil (média de diferentes variedades)",BRC0049T,0.30972,"Pera, c/ casca,in natura, Brasil (média diferentes variedades)",BRC0030C,0.30616
"Pequi, polpa, maduro, cru","Pequi, polpa, cozido, s/ óleo, c/ sal",BRC0930B,1,vegetarian,PENDING_MANUAL_REVIEW,"Pequi, polpa, maduro,in natura, Brasil (média diferentes amostras)",BRC0173C,1.0,"Coco, maduro, polpa,in natura, Brasil",BRC0013C,0.47643,"Pequi, polpa, cozido, s/ óleo, s/ sal, Brasil",BRC0929B,0.46778,"Acerola, madura, polpa, Brasil",BRC0004C,0.40842,"Bacuri, polpa,in natura, Brasil",BRC0232C,0.40583
"Pimentão, cru","Pimentão, verde, cru, Brasil",BRC0037B,1,regular,PENDING_MANUAL_REVIEW,"Pimentão, cru, Brasil (média de diferentes tipos)",BRC0031B,1.0,"Pimentão, amarelo, cru, Brasil",BRC0039B,0.59167,"Pimentão, vermelho, cru, Brasil",BRC0038B,0.577,"Pimentão, assado, s/ óleo, c/ sal",BRC0474B,0.3875,"Pimentão, assado, s/ óleo, s/ sal, Brasil",BRC0473B,0.3875
Pudim de leite,"Pudim de leite, Brasil",BRC0227K,1,vegetarian,PENDING_MANUAL_REVIEW,"Pudim, leite, mistura p/, Brasil",BRC0058R,0.60313,Pudim de sorvete,BRC0124G,0.5625,Pudim de pão,BRC0122G,0.48,"Pirão de leite, c/ sal",BRC0809B,0.45096,"Pirão de leite, s/ sal",BRC0815B,0.45096
"Pão, trigo, branco, hamburguer/hot dog/leite, de padaria (média de diferentes tipos)","Pão, c/ farinha de trigo refinada, de padaria, hamburguer/hot dog/leite, Brasil (média de diferentes tipos)",BRC0004A,1,regular,PENDING_MANUAL_REVIEW,"Pão, c/ farinha de trigo refinada, p/ hot dog, Brasil",BRC0159A,0.4354,"Pão, c/ farinha de trigo refinada, p/ hambúrguer, Brasil",BRC0158A,0.41023,"Pão francês, c/ doce de leite",BRC1204A,0.36887,"Camarão com molho branco (farinha de trigo, manteiga e leite), c/ sal",BRC0379E,0.36085,"Camarão com molho branco (farinha de trigo, manteiga e leite), s/ sal",BRC0389E,0.36085
"Pão, trigo, ciabatta","Pão, trigo, integral",BRC0149A,1,vegetarian,PENDING_MANUAL_REVIEW,"Pão, farinha de trigo refinada, ciabatta (dado importado)",BRC0874A,0.48403,"Pão, trigo, doce, c/ creme diet",BRC0080N,0.48256,"Pão, trigo, forma, diet/light, Brasil",BRC0033N,0.475,"Pão, trigo, integral, c/ chia, c/ macadâmia",BRC1089A,0.47353,"Pão, trigo/centeio, preto, forma, Brasil",BRC0157A,0.45426
"Pêssego, in natura","Pêssego,in natura, Brasil",BRC0031C,1,vegetarian,PENDING_MANUAL_REVIEW,"Gelatina, pêssego, em pó, Brasil",BRC0027R,0.44615,"Suco, néctar, pêssego, Brasil",BRC0224C,0.44615,"Iogurte, integral, pêssego, Brasil",BRC0019G,0.39839,"Suco, pêssego, com fruta em calda",BRC0159C,0.36089,"Pêssego, enlatado, em calda, drenado, Brasil",BRC0100C,0.32061
"Queijo, pasteurizado","Queijo, pasteurizado, Brasil",BRC0063G,1,vegetarian,PENDING_MANUAL_REVIEW,"Queijo, pasteurizado (média de diferentes amostras), Brasil",BRC0062G,1.0,"Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,0.54032,"Queijo, fundido, Brasil",BRC0049G,0.51667,"Queijo, ricota, Brasil",BRC0051G,0.49375,"Queijo, parmesão, ralado, Brasil",BRC0061G,0.48811
"Queijo, requeijão, zero % gordura","Queijo, requeijão, zero % gordura, Brasil",BRC0041N,1,vegetarian,PENDING_MANUAL_REVIEW,"Queijo, minas, padrão, zero % gordura, Brasil",BRC0038N,0.63975,"Queijo, requeijão (média de diferentes amostras), Brasil",BRC0066G,0.61611,"Queijo, requeijão, Brasil",BRC0067G,0.61611,"Queijo, requeijão, Brasil",BRC0068G,0.61611,"Queijo, requeijão, light, Brasil",BRC0040N,0.56824
"Suco, limonada), s/ açúcar","Suco, limonada, s/ açúcar",BRC0161C,1,vegan,PENDING_MANUAL_REVIEW,"Suco, limonada, c/ açúcar",BRC0162C,1.0,"Suco, laranjada, c/ açúcar",BRC0108C,0.6811,"Suco, clorofila, s/ açúcar, Brasil",BRC0198C,0.62744,"Suco, tangerina, c/ açúcar",BRC0164C,0.62744,"Suco, tangerina, s/ açúcar",BRC0163C,0.62744
"Óleo, soja","Óleo, soja, frito",BRC0048D,1,vegan,PENDING_MANUAL_REVIEW,"Óleo, soja, Brasil",BRC0030D,1.0,"Óleo, soja, assado",BRC0053D,0.696,"Óleo, soja, cozido",BRC0043D,0.696,"Óleo, canola, Brasil",BRC0024D,0.535,"Óleo, algodão, Brasil",BRC0020D,0.51667
