food_original,current_tbca_name,current_tbca_code,occurrence_count,profiles,review_status,candidate_1,candidate_1_code,candidate_1_score,candidate_2,candidate_2_code,candidate_2_score,candidate_3,candidate_3_code,candidate_3_score,candidate_4,candidate_4_code,candidate_4_score,candidate_5,candidate_5_code,candidate_5_score
"Margarina, c/ óleo interesterificado (65% lipídeos), s/ sal","Margarina, c/ óleo interesterificado (65% lipídeos), s/ sal, Brasil",BRC0013D,20,vegan,PENDING_MANUAL_REVIEW,"Margarina, c/ óleo interesterificado (65% lipídeos), c/ sal, Brasil",BRC0012D,1.0,"Margarina, c/ óleo hidrogenado (65% lipídeos), c/ sal, Brasil",BRC0010D,0.76143,"Margarina, c/ óleo hidrogenado (80% lipídeos), s/ sal, Brasil",BRC0011D,0.64056,"Margarina, c/ leite, c/ sal, Brasil",BRC0016D,0.44051,"Margarina, c/ leite, s/ sal, Brasil",BRC0017D,0.44051
"Pão, trigo, leite, industrializado (média de diferentes marcas)","Bolo, industrializado (média de diferentes sabores), Brasil",BRC0069A,17,vegetarian,PENDING_MANUAL_REVIEW,"Pão, de leite, c/ farinha de trigo refinada, industrializado (média de diferentes marcas), Brasil",BRC0147A,0.73541,"Coco, leite, industrializado, Brasil",BRC0175C,0.5625,"Pão, de queijo, industrializado, cru, Brasil",BRC0094B,0.52813,"Pão, de queijo, industrializado, assado, Brasil",BRC0123B,0.5159,"Pão, de queijo, industrializado, massa congelada, crua, Brasil",BRC0124B,0.48375
"Repolho, roxo, cru","Repolho, roxo, cru, Brasil",BRC0080B,17,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Repolho, branco, cru, Brasil",BRC0033B,0.57308,"Salada, repolho roxo cru, s/ óleo, s/ sal",BRC0631B,0.51,"Feijão, roxo, cru, Brasil",BRC0015T,0.48478,"Salada, repolho roxo cru, c/ óleo de soja, c/ sal",BRC0628B,0.44333,"Repolho, roxo, cozido, drenado, s/ óleo, c/ sal",BRC0928B,0.425
"Soja, extrato, bebida (média de diferentes sabores)","Soja, extrato, bebida (média de diferentes sabores), Brasil",BRC0042T,17,vegan,PENDING_MANUAL_REVIEW,"Soja, extrato, bebida, natural, Brasil",BRC0043T,0.71815,"Soja, extrato, bebida (tipo iogurte), c/ açúcar, Brasil (média de diferentes amostras)",BRC0182T,0.62172,"Soja, extrato, solúvel, em pó, Brasil",BRC0048T,0.502,"Bebida láctea (média de diferentes sabores), Brasil",BRC0001G,0.50083,"Soja, extrato, c/ suco de abacaxi, Brasil",BRC0045T,0.48846
"Biscoito, salgado, cream cracker","Biscoito, salgado, cream cracker, Brasil",BRC0201A,16,regular|vegetarian,PENDING_MANUAL_REVIEW,"Biscoito, salgado, cream cracker, integral, Brasil",BRC0059A,0.83826,"Biscoito, salgado, água, Brasil",BRC0056A,0.5898,"Biscoito, salgado (média diferentes marcas e tipos), Brasil",BRC0055A,0.53,"Biscoito, salgado, água e sal, Brasil",BRC0057A,0.49524,"Biscoito, salgado, água e sal, Brasil",BRC0058A,0.49524
"Chicória, crua","Chicória, crua, Brasil",BRC0071B,16,regular|vegan,PENDING_MANUAL_REVIEW,"Chicória do Pará (coentro bravo), cru, Brasil",BRC0716B,0.44333,"Almeirão (chicória amarga), cru, Brasil",BRC0011B,0.425,"Salada, chicória, s/ óleo, s/ sal",BRC0601B,0.3875,"Salada, chicória, c/ óleo de soja, c/ sal",BRC0598B,0.32784,"Chicória, cozida, drenada, s/ óleo, c/ sal",BRC0208B,0.31
"Mamão, polpa, in natura","Melão, polpa,in natura, Brasil",BRC0028C,16,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Mamão, Papaia, polpa,in natura, Brasil",BRC0044C,0.71724,"Mamão, Formosa, polpa,in natura, Brasil",BRC0045C,0.70333,"Mamão, polpa,in natura, Brasil (média diferentes variedades)",BRC0024C,0.66667,"Açaí, polpa (média de amostras), Brasil",BRC0003C,0.56905,"Açaí, polpa, Brasil",BRC0185C,0.56905
"Pão, trigo, integral, caseiro","Pão, trigo, integral",BRC0149A,15,regular|vegan,PENDING_MANUAL_REVIEW,"Pão, trigo, integral, c/ chia, c/ macadâmia",BRC1089A,0.63517,"Pão, trigo, integral, c/ quinoa, c/ castanha do Brasil",BRC1088A,0.62833,"Pão, c/ farinha de trigo, vegano, caseiro",BRC1074A,0.62328,"Macarrão, trigo, integral, cru, Brasil",BRC0228A,0.56163,"Pão, batata, c/ farinha de trigo, caseiro",BRC0196A,0.54741
"Coco, leite",Arroz de leite,BRC0805A,14,vegan,PENDING_MANUAL_REVIEW,"Coco, leite, industrializado, Brasil",BRC0175C,0.60556,"Chocolate, ao leite, Brasil",BRC0047K,0.59,"Chocolate, ao leite, Brasil",BRC0049K,0.59,"Chocolate, ao leite, Brasil",BRC0050K,0.59,"Chocolate, ao leite, Brasil",BRC0051K,0.59
"Mingau, de amido de milho (maisena)","Mingau, de amido de milho (maisena), c/ banana",BRC0055G,14,regular|vegetarian,PENDING_MANUAL_REVIEW,"Mingau, de amido de milho (maisena), c/ açúcar*, Brasil",BRC0054G,0.84475,"Milho, amido, cru (maisena), Brasil",BRC0124A,0.72861,"Biscoito, doce, maisena (amido de milho), Brasil",BRC0200A,0.52331,"Mingau, de aveia",BRC0053G,0.37947,"Mingau, c/ tapioca, c/ açúcar",BRC0119G,0.37926
